"Vertrouwen in mensen, recht en politiek; Europese vergelijking"
"";"";"Onderwerpen";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in"
"";"";"Onderwerpen";"Andere mensen";"Rechtssysteem";"Politie";"Politici";"Parlement";"Politieke partijen";"Europees Parlement";"Verenigde Naties"
"Persoonskenmerken";"Land";"Perioden";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore"
"Totaal personen";"Frankrijk";"2008";"4.5";"5.1";"5.8";"3.5";"4.5";"3.4";"4.6";"5.3"
"Totaal personen";"Frankrijk";"2010";"4.3";"4.9";"5.6";"3.2";"4.1";"3.1";"4.3";"5.0"
"Totaal personen";"Frankrijk";"2012";"4.4";"5.0";"5.9";"3.2";"4.1";"3.1";"4.1";"5.2"
"Totaal personen";"Frankrijk";"2014*";".";".";".";".";".";".";".";"."
"Totaal personen";"Griekenland";"2002";".";".";".";".";".";".";".";"."
"Totaal personen";"Griekenland";"2004";".";".";".";".";".";".";".";"."
"Totaal personen";"Griekenland";"2006";".";".";".";".";".";".";".";"."
"Totaal personen";"Griekenland";"2008";".";".";".";".";".";".";".";"."
"Totaal personen";"Griekenland";"2010";"4.0";"3.8";"4.6";"1.4";"2.0";"1.4";"2.6";"2.6"
"Totaal personen";"Griekenland";"2012";".";".";".";".";".";".";".";"."
"Totaal personen";"Griekenland";"2014*";".";".";".";".";".";".";".";"."
"Totaal personen";"Hongarije";"2002";"4.1";"5.1";"4.9";"3.9";"5.0";".";"5.7";"6.0"
"Totaal personen";"Hongarije";"2004";"4.1";"4.4";"5.2";"2.7";"3.6";"2.7";"5.2";"5.7"
"Totaal personen";"Hongarije";"2006";"4.3";"4.3";"5.1";"2.5";"3.4";"5.0";"5.0";"6.5"
"Totaal personen";"Hongarije";"2008";"4.1";"3.7";"4.3";"1.9";"2.6";"2.0";"4.0";"4.5"
"Totaal personen";"Hongarije";"2010";"4.5";"4.6";"5.1";"3.1";"4.2";"3.1";"4.7";"5.1"
"Totaal personen";"Hongarije";"2012";"4.8";"4.7";"5.3";"3.3";"3.9";"3.2";"4.2";"4.9"
"Totaal personen";"Hongarije";"2014*";"4.2";"4.6";"5.3";"2.9";"3.8";"3.0";"4.8";"5.4"
"Totaal personen";"Ierland";"2002";"5.5";"5.1";"6.5";"3.7";"4.4";".";"5.1";"5.7"
"Totaal personen";"Ierland";"2004";"5.8";"5.2";"6.6";"3.9";"4.7";"4.0";"5.4";"5.8"
"Totaal personen";"Ierland";"2006";"5.4";"5.0";"6.1";"3.8";"4.8";"3.2";"4.4";"5.1"
"Totaal personen";"Ierland";"2008";".";".";".";".";".";".";".";"."
"Totaal personen";"Ierland";"2010";"5.3";"5.1";"6.5";"3.1";"3.7";"3.1";"4.1";"5.3"
"Totaal personen";"Ierland";"2012";"5.2";"5.2";"6.6";"3.1";"3.6";"3.0";"4.4";"5.5"
"Totaal personen";"Ierland";"2014*";"5.2";"5.3";"6.3";"3.3";"3.8";"3.3";"4.6";"5.4"
"Totaal personen";"IJsland";"2002";".";".";".";".";".";".";".";"."
"Totaal personen";"IJsland";"2004";".";".";".";".";".";".";".";"."
"Totaal personen";"IJsland";"2006";".";".";".";".";".";".";".";"."
"Totaal personen";"IJsland";"2008";".";".";".";".";".";".";".";"."
"Totaal personen";"IJsland";"2010";".";".";".";".";".";".";".";"."
"Totaal personen";"IJsland";"2012";"6.0";"5.8";"7.8";"3.9";"4.2";"3.5";"4.2";"6.3"
"Totaal personen";"IJsland";"2014*";".";".";".";".";".";".";".";"."
"Totaal personen";"Italië";"2002";" ";" ";" ";" ";" ";" ";" ";" "
"Totaal personen";"Italië";"2004";" ";" ";" ";" ";" ";" ";" ";" "
"Totaal personen";"Italië";"2006";" ";" ";" ";" ";" ";" ";" ";" "
"Totaal personen";"Italië";"2008";" ";" ";" ";" ";" ";" ";" ";" "
"Totaal personen";"Italië";"2010";" ";" ";" ";" ";" ";" ";" ";" "
"Totaal personen";"Italië";"2012";"4.8";"4.5";"6.1";"2.0";"3.2";"2.0";"4.3";"5.2"
"Totaal personen";"Italië";"2014*";".";".";".";".";".";".";".";"."
"Totaal personen";"Kosovo";"2002";".";".";".";".";".";".";".";"."
"Totaal personen";"Kosovo";"2004";".";".";".";".";".";".";".";"."
"Totaal personen";"Kosovo";"2006";".";".";".";".";".";".";".";"."
"Totaal personen";"Kosovo";"2008";".";".";".";".";".";".";".";"."
"Totaal personen";"Kosovo";"2010";".";".";".";".";".";".";".";"."
"Totaal personen";"Kosovo";"2012";"3.7";"3.2";"5.6";"2.1";"3.1";"2.3";"5.3";"6.1"
"Totaal personen";"Kosovo";"2014*";".";".";".";".";".";".";".";"."
"Totaal personen";"Kroatië";"2002";".";".";".";".";".";".";".";"."
"Totaal personen";"Kroatië";"2004";".";".";".";".";".";".";".";"."
"Totaal personen";"Kroatië";"2006";".";".";".";".";".";".";".";"."
"Totaal personen";"Kroatië";"2008";".";".";".";".";".";".";".";"."
"Totaal personen";"Kroatië";"2010";"4.6";"3.2";"4.4";"1.6";"2.3";"1.8";"3.3";"3.9"
"Totaal personen";"Kroatië";"2012";".";".";".";".";".";".";".";"."
"Totaal personen";"Kroatië";"2014*";".";".";".";".";".";".";".";"."
"Totaal personen";"Litouwen";"2002";" ";" ";" ";" ";" ";" ";" ";" "
"Totaal personen";"Litouwen";"2004";" ";" ";" ";" ";" ";" ";" ";" "
"Totaal personen";"Litouwen";"2006";" ";" ";" ";" ";" ";" ";" ";" "
"Totaal personen";"Litouwen";"2008";" ";" ";" ";" ";" ";" ";" ";" "
"Totaal personen";"Litouwen";"2010";" ";" ";" ";" ";" ";" ";" ";" "
"Totaal personen";"Litouwen";"2012";"5.2";"4.0";"5.5";"2.9";"3.1";"2.8";"4.7";"5.0"
"Totaal personen";"Litouwen";"2014*";"4.9";"4.5";"5.7";"3.1";"3.3";"3.0";"5.2";"5.6"
"Totaal personen";"Nederland";"2002";"5.7";"5.4";"5.8";"4.9";"5.2";".";"4.7";"5.4"
"Totaal personen";"Nederland";"2004";"5.8";"5.5";"6.0";"4.7";"4.7";"4.8";"4.6";"5.4"
"Totaal personen";"Nederland";"2006";"5.8";"5.8";"6.2";"5.0";"5.3";"3.5";"3.5";"5.0"
"Totaal personen";"Nederland";"2008";"6.0";"5.9";"6.3";"5.2";"5.6";"5.2";"5.1";"5.6"
"Totaal personen";"Nederland";"2010";"6.0";"5.9";"6.3";"5.2";"5.4";"5.3";"4.9";"5.6"
"Totaal personen";"Nederland";"2012";"6.0";"6.1";"6.4";"5.1";"5.3";"5.1";"4.8";"5.7"
"Totaal personen";"Nederland";"2014*";"6.0";"6.0";"6.4";"4.9";"5.2";"4.9";"4.5";"5.5"
"Totaal personen";"Noorwegen";"2002";"6.6";"6.3";"7.0";"4.6";"5.7";".";"4.7";"6.8"
"Totaal personen";"Noorwegen";"2004";"6.6";"6.4";"7.1";"4.2";"5.4";"4.3";"4.6";"6.9"
"Totaal personen";"Noorwegen";"2006";"6.8";"6.6";"7.2";"4.4";"5.7";"2.6";"5.0";"5.4"
"Totaal personen";"Noorwegen";"2008";"6.6";"6.8";"7.0";"4.6";"5.8";"4.8";"5.0";"6.8"
"Totaal personen";"Noorwegen";"2010";"6.7";"6.9";"7.2";"4.9";"6.0";"4.9";"5.0";"6.7"
"Totaal personen";"Noorwegen";"2012";"6.7";"7.2";"7.2";"5.1";"6.3";"5.2";"4.9";"6.7"
"Totaal personen";"Noorwegen";"2014*";"6.6";"7.2";"7.4";"5.3";"6.7";"5.3";"5.0";"6.7"
"Totaal personen";"Oekraïne";"2002";".";".";".";".";".";".";".";"."
"Totaal personen";"Oekraïne";"2004";".";".";".";".";".";".";".";"."
"Totaal personen";"Oekraïne";"2006";".";".";".";".";".";".";".";"."
"Totaal personen";"Oekraïne";"2008";".";".";".";".";".";".";".";"."
"Totaal personen";"Oekraïne";"2010";"4.2";"2.3";"2.5";"1.8";"2.0";"2.0";"4.0";"4.0"
"Totaal personen";"Oekraïne";"2012";"4.5";"1.9";"2.0";"1.7";"1.8";"1.9";"3.9";"3.9"
"Totaal personen";"Oekraïne";"2014*";".";".";".";".";".";".";".";"."
"Totaal personen";"Oostenrijk";"2002";"5.1";"6.1";"6.4";"3.5";"5.1";".";"4.2";"4.5"
"Totaal personen";"Oostenrijk";"2004";"5.2";"5.8";"6.2";"3.3";"4.8";"3.4";"4.0";"4.5"
"Totaal personen";"Oostenrijk";"2006";"5.1";"6.0";"6.3";"3.3";"4.9";"3.3";"4.0";"4.7"
"Totaal personen";"Oostenrijk";"2008";".";".";".";".";".";".";".";"."
"Totaal personen";"Oostenrijk";"2010";".";".";".";".";".";".";".";"."
"Totaal personen";"Oostenrijk";"2012";".";".";".";".";".";".";".";"."
"Totaal personen";"Oostenrijk";"2014*";"5.0";"5.7";"6.5";"3.5";"4.7";"3.4";"3.6";"4.4"
"Totaal personen";"Polen";"2002";"3.7";"3.7";"4.9";"2.7";"3.5";".";"4.8";"5.6"
"Totaal personen";"Polen";"2004";"3.6";"3.0";"4.6";"1.9";"2.4";"1.9";"4.3";"5.0"
"Totaal personen";"Polen";"2006";"4.1";"3.8";"5.0";"2.1";"2.7";"3.9";"5.3";"5.7"
"Totaal personen";"Polen";"2008";"4.1";"3.9";"5.1";"2.3";"3.0";"2.3";"4.5";"5.1"
"Totaal personen";"Polen";"2010";"4.4";"4.3";"5.4";"2.7";"3.4";"2.5";"4.7";"5.3"
"Totaal personen";"Polen";"2012";"4.1";"3.7";"5.3";"2.2";"3.0";"2.2";"4.2";"5.0"
"Totaal personen";"Polen";"2014*";"3.9";"3.5";"5.1";"2.0";"2.8";"2.0";"3.6";"4.6"
"Totaal personen";"Portugal";"2002";"4.2";"4.3";"5.1";"2.8";"4.4";".";"4.8";"5.4"
"Totaal personen";"Portugal";"2004";"3.9";"3.9";"5.1";"2.1";"3.7";"2.1";"4.0";"4.7"
"Totaal personen";"Portugal";"2006";"4.1";"4.0";"5.1";"2.5";"3.8";"5.1";"4.8";"5.5"
"Totaal personen";"Portugal";"2008";"3.7";"3.8";"5.3";"2.3";"3.5";"2.4";"4.3";"4.9"
"Totaal personen";"Portugal";"2010";"3.7";"3.5";"5.1";"2.0";"2.9";"2.0";"3.7";"4.3"
"Totaal personen";"Portugal";"2012";"3.6";"3.5";"5.3";"1.8";"2.5";"1.8";"3.2";"4.1"
