"Vertrouwen in mensen en in organisaties; persoonskenmerken"
"";"";"Onderwerpen";"Vertrouwen in andere mensen";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties"
"";"";"Onderwerpen";"Vertrouwen in andere mensen";"Kerken";"Leger";"Rechters";"Pers";"Politie";"Tweede Kamer";"Ambtenaren";"Banken";"Grote bedrijven";"Europese Unie"
"Persoonskenmerken";"Cijfersoort";"Perioden";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%"
"Totaal";"Waarde";"2012";"58.3";"31.0";"59.3";"68.8";"30.9";"67.7";"36.3";"44.3";"41.6";"45.3";"39.2"
"Totaal";"Waarde";"2013";"58.3";"28.7";"61.7";"69.0";"31.8";"67.5";"31.5";"40.8";"34.3";"40.3";"34.3"
"Totaal";"Waarde";"2014";"57.9";"29.4";"62.2";"68.0";"31.3";"67.9";"34.6";"41.9";"36.6";"40.1";"36.4"
"Totaal";"Waarde";"2015";"59.7";"30.3";"64.8";"69.0";"30.3";"68.8";"34.4";"42.3";"35.4";"39.2";"35.8"
"Totaal";"Waarde";"2016";"59.9";"30.4";"64.9";"71.5";"31.2";"70.3";"36.8";"42.6";"36.3";"37.4";"36.0"
"Totaal";"Waarde";"2017";"62.2";"31.2";"64.8";"72.9";"31.9";"74.5";"40.8";"45.5";"39.9";"39.4";"43.1"
