"ID";"Persoonskenmerken";"Perioden";"VertrouwenInVerkiezingen_1";"Kerken_7";"Leger_8";"Rechters_9";"Pers_10";"Politie_11";"Ambtenaren_12";"GroteBedrijven_13";"EuropeseUnie_14";"NAVO_15";"TweedeKamer_16";"VertrouwenInAndereMensen_17"
"75";" 10060";"2006JJ00";"77";"48";"65";"74";"31";"65";"34";"32";"40";"55";"61";"57"
"76";" 10060";"2010JJ00";"68";"35";"74";"66";"28";"67";"44";"42";"39";"65";"57";"54"
"78";" 10070";"2006JJ00";"75";"39";"54";"66";"23";"66";"31";"33";"41";"56";"53";"67"
"79";" 10070";"2010JJ00";"78";"44";"77";"74";"34";"80";"56";"49";"46";"71";"61";"60"
"81";"100410";"2006JJ00";"87";"61";"70";"75";"29";"76";"43";"46";"50";"67";"71";"67"
"82";"100410";"2010JJ00";"81";"65";"83";"73";"29";"79";"56";"55";"58";"80";"75";"64"
"84";"102820";"2006JJ00";"74";"33";"56";"78";"36";"72";"42";"28";"45";"52";"66";"57"
"85";"102820";"2010JJ00";"77";"31";"65";"79";"36";"77";"66";"38";"54";"61";"72";"61"
"87";"103630";"2006JJ00";"90";"38";"69";"75";"35";"66";"36";"54";"44";"65";"70";"70"
"88";"103630";"2010JJ00";"85";"29";"84";"81";"36";"74";"53";"58";"42";"74";"69";"73"
"90";"100920";"2006JJ00";"88";"35";"37";"90";"40";"83";"53";"25";"52";"45";"72";"89"
"91";"100920";"2010JJ00";"91";"30";"67";"82";"46";"75";"61";"32";"55";"70";"76";"82"
"93";"103320";"2006JJ00";"75";"27";"51";"69";"40";"67";"37";"24";"32";"42";"53";"58"
"94";"103320";"2010JJ00";"66";"23";"66";"74";"30";"73";"53";"38";"38";"56";"58";"57"
"96";"100470";"2006JJ00";"90";"93";"70";"77";"24";"79";"43";"26";"30";"57";"76";"66"
"97";"100470";"2010JJ00";"89";"90";"84";"74";"21";"91";"65";"43";"41";"63";"66";"74"
"99";"100560";"2006JJ00";;;;;;;;;;;;
"100";"100560";"2010JJ00";"86";"24";"75";"87";"39";"81";"64";"47";"52";"74";"79";"85"
"102";"102921";"2006JJ00";"64";"26";"65";"46";"39";"45";"20";"29";"19";"47";"31";"49"
"103";"102921";"2010JJ00";"61";"22";"77";"56";"32";"53";"35";"50";"28";"61";"35";"43"
"105";"199999";"2006JJ00";"80";"46";"64";"78";"35";"66";"39";"36";"38";"59";"63";"64"
"106";"199999";"2010JJ00";"75";"54";"73";"69";"22";"70";"47";"48";"34";"53";"47";"45"
"108";"200000";"2006JJ00";"47";"39";"60";"60";"33";"70";"27";"33";"37";"52";"43";"47"
"109";"200000";"2010JJ00";"55";"29";"72";"57";"30";"60";"42";"45";"42";"62";"44";"38"
"111";" 21080";"2006JJ00";"74";"21";"60";"74";"38";"69";"58";"35";"33";"41";"53";"63"
"112";" 21080";"2010JJ00";"71";"17";"73";"73";"36";"71";"52";"46";"43";"66";"59";"59"
"114";" 21070";"2006JJ00";"75";"62";"60";"65";"32";"71";"59";"38";"41";"42";"58";"57"
"115";" 21070";"2010JJ00";"68";"47";"78";"66";"29";"66";"46";"50";"49";"69";"58";"52"
"117";" 21050";"2006JJ00";"74";"70";"61";"55";"24";"73";"62";"33";"38";"45";"61";"60"
"118";" 21050";"2010JJ00";"77";"70";"75";"58";"29";"69";"48";"47";"42";"68";"66";"51"
"120";" 21040";"2006JJ00";"73";"90";"74";"75";"24";"78";"74";"45";"36";"32";"63";"61"
"121";" 21040";"2010JJ00";"75";"88";"80";"64";"33";"70";"56";"51";"45";"73";"56";"50"
"123";" 21060";"2006JJ00";"78";"90";"83";"84";"20";"77";"73";"51";"31";"46";"67";"72"
"124";" 21060";"2010JJ00";"92";"78";"89";"79";"30";"80";"70";"56";"58";"78";"75";"73"
"126";" 21090";"2006JJ00";"73";"62";"51";"80";"29";"69";"63";"46";"34";"42";"44";"47"
"127";" 21090";"2010JJ00";"70";"51";"67";"70";"20";"61";"55";"36";"43";"50";"50";"53"
"129";" 21010";"2006JJ00";"79";"86";"68";"75";"20";"75";"69";"42";"30";"33";"56";"59"
"130";" 21010";"2010JJ00";"76";"88";"84";"65";"25";"76";"55";"49";"51";"62";"58";"55"
"132";" 21020";"2006JJ00";"85";"87";"64";"64";"27";"66";"72";"44";"25";"40";"54";"59"
"133";" 21020";"2010JJ00";"81";"81";"87";"69";"27";"74";"59";"51";"59";"71";"74";"60"
"135";" 21000";"2006JJ00";"80";"82";"65";"77";"32";"75";"76";"46";"47";"56";"71";"64"
"136";" 21000";"2010JJ00";"76";"68";"72";"77";"21";"67";"54";"46";"48";"72";"69";"63"
"138";" 21025";"2006JJ00";"76";"59";"61";"68";"38";"73";"63";"37";"44";"41";"54";"57"
"139";" 21025";"2010JJ00";"74";"51";"81";"73";"35";"72";"55";"59";"55";"72";"59";"61"
"141";" 21030";"2006JJ00";"69";"58";"58";"65";"27";"72";"55";"39";"39";"43";"57";"56"
"142";" 21030";"2010JJ00";"68";"39";"71";"63";"28";"61";"46";"42";"41";"64";"55";"48"
